14	@spitta1969 @bbva_argentina Sandrita vos militás en la vereda de los que dicen que el mercado y su mano invisible todo lo ordena. Ahí tenés la libertad de empresa cuando vos   sos el corderito... Nunca es triste la verdad lo que no tiene es vacuna.
15	Es increíble lo que están haciendo bancos como @bbva_argentina . Descuentan lo que quieren de las cuentas. Cobran altas comisiones bancarias y después no responden. Parecen bancos públicos de lo malos que son.
15	@spitta1969 @bbva_argentina nadie los controlan...aprovechan la corrupcion q hay en el pais..es indignante..con el esfuerzo q haces para comprar algo.encima te ponen gastos y estupideces d las cuales nada sabes y ni te explican. Creo q aprendieron a vivir en Argentina..
16	Es increíble lo que están haciendo bancos como @bbva_argentina . Descuentan lo que quieren de las cuentas. Cobran altas comisiones bancarias y después no responden. Parecen bancos públicos de lo malos que son.
16	@spitta1969 @bbva_argentina @bbva_argentina cada día trabaja peor! No sé si porque despidieron mucha gente y todo está desorganizado, no hubo una revisión de la funcionalidad de los procesos, pero deberían pagarnos por ser clientes!
17	Es increíble lo que están haciendo bancos como @bbva_argentina . Descuentan lo que quieren de las cuentas. Cobran altas comisiones bancarias y después no responden. Parecen bancos públicos de lo malos que son.
17	@spitta1969 @bbva_argentina lo unico efectivo es ir a la sucursal y putear hasta que te atienda el gerente, y que genere los creditos en el momento. pero gritando todo el tiempo. Al bancario le gusta recibir puteadas por lo que no hace...
18	Es increíble lo que están haciendo bancos como @bbva_argentina . Descuentan lo que quieren de las cuentas. Cobran altas comisiones bancarias y después no responden. Parecen bancos públicos de lo malos que son.
18	@spitta1969 @Nipurdelagash1 @bbva_argentina hace años me fui del BBVA cuando me cargaron en la tarjeta 2 veces lo mismo y me dejaron tirado en el exterior, pero no te preocupes que los restantes son lo mismo de malos.
19	Es increíble lo que están haciendo bancos como @bbva_argentina . Descuentan lo que quieren de las cuentas. Cobran altas comisiones bancarias y después no responden. Parecen bancos públicos de lo malos que son.
19	@spitta1969 @Laurahnz50Laura @bbva_argentina Los bancarios bono de 52000 salud 5000 nadie es K gratis
20	Es increíble lo que están haciendo bancos como @bbva_argentina . Descuentan lo que quieren de las cuentas. Cobran altas comisiones bancarias y después no responden. Parecen bancos públicos de lo malos que son.
20	"@spitta1969 @bbva_argentina Hace tiempo que este tema se lo comento a mi esposo. El destrato que recibo de los bancos es terrible, sumado a la ignorancia de muchos empleados a la hora de responder una consulta básica. Se han ""estatizado""."
21	Ya empezamos a ver efectos de la vacunación? La proporción de infectados que son personal de salud disminuyó muchísimo.  Muy buen gráfico de Martín! 👏👏👏 https://t.co/msvPNYxhh7
21	@rquiroga777 Yo no se qué ven. Los casos bajan solos desde hace meses y suben solos. Por ejemplo en este gráfico se aprecia la MISMA suba de casos por la que querían implementar toque de queda en Enero, y la misma bajada repentina por la que no dijeron nada luego. No hay nada especial aquí.
22	Ya empezamos a ver efectos de la vacunación? La proporción de infectados que son personal de salud disminuyó muchísimo.  Muy buen gráfico de Martín! 👏👏👏 https://t.co/msvPNYxhh7
